Wall time,Step,Value
1603587849.6539578,0,33.33333206176758
1603587853.1391747,1,31.538461685180664
1603587856.7410789,2,52.5
1603587860.3583436,3,60.85714340209961
1603587864.1794481,4,68.83333587646484
1603587867.8239887,5,77.5
1603587871.3895946,6,58.28571319580078
1603587875.0673306,7,113.5
1603587878.6654973,8,92.4000015258789
1603587882.3154075,9,97.0
1603587886.0428538,10,102.5999984741211
1603587889.623843,11,121.0
1603587893.393461,12,173.3333282470703
1603587897.1346576,13,164.3333282470703
1603587900.794505,14,160.0
1603587904.3656669,15,141.6666717529297
1603587907.9700298,16,157.3333282470703
1603587911.6139538,17,174.3333282470703
1603587915.3146873,18,200.0
1603587918.966119,19,186.0
1603587922.6299145,20,184.0
1603587926.1973588,21,155.0
1603587929.671255,22,200.0
1603587933.214056,23,134.0
1603587936.9974208,24,138.6666717529297
1603587940.7190433,25,119.5
1603587944.382603,26,125.25
1603587948.0296915,27,120.75
1603587951.5720599,28,104.25
1603587955.0516288,29,111.75
1603587958.6782515,30,113.5
1603587962.4226987,31,127.5
1603587966.2847452,32,120.0
1603587969.8542771,33,114.25
1603587973.431555,34,121.75
1603587976.9856207,35,116.25
1603587980.4666564,36,121.5
1603587984.1111114,37,123.75
1603587987.7425601,38,128.5
1603587991.2844837,39,152.0
1603587994.8735607,40,171.0
1603587998.502681,41,200.0
1603588001.8838937,42,200.0
1603588005.399255,43,200.0
1603588008.8068993,44,200.0
1603588012.4287493,45,200.0
1603588015.9393973,46,200.0
1603588019.483142,47,173.0
1603588023.0217626,48,153.0
1603588026.5488973,49,168.3333282470703
1603588030.1675553,50,146.3333282470703
1603588033.8782527,51,138.6666717529297
1603588037.489427,52,134.3333282470703
1603588041.241852,53,123.0
1603588044.8733943,54,144.0
1603588048.294176,55,129.25
1603588051.9072213,56,125.0
1603588055.4179037,57,115.5
1603588058.8277445,58,133.6666717529297
1603588062.3097236,59,124.0
1603588065.9316106,60,141.0
1603588069.6028476,61,150.0
1603588073.3185048,62,129.5
1603588076.763316,63,139.0
1603588080.413255,64,168.6666717529297
1603588084.3219259,65,190.6666717529297
1603588087.7434702,66,156.6666717529297
1603588091.5282493,67,134.3333282470703
1603588095.1348407,68,172.0
1603588098.6994462,69,189.0
1603588102.3549743,70,196.6666717529297
1603588106.019311,71,175.0
1603588109.815528,72,151.6666717529297
1603588113.3601956,73,179.0
1603588116.876286,74,153.0
1603588120.4361396,75,189.3333282470703
1603588124.0330002,76,186.0
1603588127.6549923,77,179.0
1603588131.382247,78,173.0
1603588134.8933356,79,189.3333282470703
1603588138.6144912,80,168.0
1603588142.2860506,81,157.6666717529297
1603588146.1186829,82,160.6666717529297
1603588149.5923119,83,174.6666717529297
1603588153.4126434,84,197.3333282470703
1603588157.0224943,85,165.6666717529297
1603588160.7650974,86,176.3333282470703
1603588164.3463771,87,158.0
1603588167.9858336,88,165.0
1603588171.648672,89,193.3333282470703
1603588175.0557783,90,133.25
1603588178.5172927,91,121.5
1603588181.9078078,92,104.0
1603588185.4634166,93,92.80000305175781
1603588189.1951542,94,92.0
1603588192.593574,95,106.0
1603588195.971126,96,81.80000305175781
1603588199.458229,97,93.80000305175781
1603588203.0837479,98,84.83333587646484
1603588206.5884917,99,83.80000305175781
